tokenizer,metric,value,n_samples,scope
grapheme_unigram,corpus_token_count,3298290538.0,37599994,full_corpus
grapheme_unigram,compression_ratio,0.8627018209030802,37599994,full_corpus
grapheme_unigram,tokens_per_bengali_word,6.370837077101784,37599994,full_corpus
grapheme_bpe,corpus_token_count,1742965334.0,37599994,full_corpus
grapheme_bpe,compression_ratio,1.6325288848229038,37599994,full_corpus
grapheme_bpe,tokens_per_bengali_word,3.36663736745386,37599994,full_corpus
byte_unigram,corpus_token_count,598736839.0,37599994,full_corpus
byte_unigram,compression_ratio,4.7524071806779205,37599994,full_corpus
byte_unigram,tokens_per_bengali_word,1.1564944959763643,37599994,full_corpus
byte_bpe,corpus_token_count,600658579.0,37599994,full_corpus
byte_bpe,compression_ratio,4.737202384984166,37599994,full_corpus
byte_bpe,tokens_per_bengali_word,1.1602064468501565,37599994,full_corpus
gpt4_tiktoken,corpus_token_count,4079808285.0,37599994,full_corpus
gpt4_tiktoken,compression_ratio,0.6974448440289884,37599994,full_corpus
gpt4_tiktoken,tokens_per_bengali_word,7.88038336528892,37599994,full_corpus
banglabert,corpus_token_count,1019489036.0,37599994,full_corpus
banglabert,compression_ratio,2.7910464482915733,37599994,full_corpus
banglabert,tokens_per_bengali_word,1.9692014622174427,37599994,full_corpus
