tokenizer,metric,value,n_samples,scope
grapheme_unigram,corpus_token_count,426107479.0,21249208,full_corpus
grapheme_unigram,compression_ratio,4.028432059039264,21249208,full_corpus
grapheme_unigram,tokens_per_bengali_word,1.3983691324643919,21249208,full_corpus
grapheme_bpe,corpus_token_count,428557470.0,21249208,full_corpus
grapheme_bpe,compression_ratio,4.005402190282671,21249208,full_corpus
grapheme_bpe,tokens_per_bengali_word,1.406409338182573,21249208,full_corpus
byte_unigram,corpus_token_count,413669094.0,21249208,full_corpus
byte_unigram,compression_ratio,4.149560733198018,21249208,full_corpus
byte_unigram,tokens_per_bengali_word,1.3575497277392565,21249208,full_corpus
byte_bpe,corpus_token_count,418516583.0,21249208,full_corpus
byte_bpe,compression_ratio,4.101498240990847,21249208,full_corpus
byte_bpe,tokens_per_bengali_word,1.3734578713922825,21249208,full_corpus
gpt4_tiktoken,corpus_token_count,2426460614.0,21249208,full_corpus
gpt4_tiktoken,compression_ratio,0.7074275259594219,21249208,full_corpus
gpt4_tiktoken,tokens_per_bengali_word,7.962985375711267,21249208,full_corpus
banglabert,corpus_token_count,623316837.0,21249208,full_corpus
banglabert,compression_ratio,2.75388843539293,21249208,full_corpus
banglabert,tokens_per_bengali_word,2.0455567375904677,21249208,full_corpus
